,sum,sum,median,median,std,std,KS p-value
nb_mean_coreness_1,2934.9844281912992,1768.2931069825229,23.18796992481203,22.0,5.855587080117212,8.26018771261063,0.00513910053733955
nb_mean_coreness_2,1796.6340090744288,1305.7187053432497,13.494328922495274,16.213375796178344,2.8171824467051,4.601794890036295,4.213764164973622e-09
nb_mean_coreness_3,1074.3961919895567,847.4291491350192,7.685704960835509,9.348729792147806,1.505340199575402,3.5321062193064137,1.6111586788894775e-11
nb_mean_coreness_4,903.6300088819603,602.0283012792581,6.804229934924078,6.95679012345679,0.4782519190907776,1.140986768346741,2.602016508075167e-13
nb_mean_degree,15608.588823134707,9038.317625745949,99.39473684210526,87.5,77.83119993633605,79.66029082438001,0.058574870824526004
nb_mean_degree_1,15608.588823134707,9038.317625745949,99.39473684210526,87.5,77.83119993633605,79.66029082438001,0.058574870824526004
nb_mean_degree_2,5090.549988519899,4449.504411662476,34.95920617420066,49.19875776397515,17.40172092633766,28.712707527115853,4.21637198014611e-11
nb_mean_degree_3,2202.5012974784513,2055.1128040997537,15.154699738903394,19.612009237875288,4.950000325271271,16.137918362699804,1.6111586788894775e-11
nb_mean_degree_4,1743.1686049451998,1180.325743276068,13.066702819956616,13.424242424242424,1.3215149517821905,3.7297689667241314,2.602016508075167e-13
nb_mean_eccentricity,782.8859039391859,482.9042620903083,6.0,6.0,0.3439199790741089,1.0097440804602058,0.0013734548660007699
nb_mean_eccentricity_1,782.8859039391859,482.9042620903083,6.0,6.0,0.3439199790741089,1.0097440804602058,0.0013734548660007699
nb_mean_eccentricity_2,774.0842571038406,478.94611949509135,5.9338235294117645,5.9423076923076925,0.20376424957105874,0.9567679661918465,0.0008138505100580756
nb_mean_eccentricity_3,756.8835783257099,472.5061131112279,5.766612641815235,5.772585669781932,0.08211184550555128,0.8470480395032873,3.3030327895460023e-06
nb_mean_eccentricity_4,759.0922170520155,468.3265324731485,5.794482758620689,5.773865199449793,0.031112056168114605,0.8151067176244355,2.2488035777134763e-06
nb_mean_harmonic_centrality,48.14977924362229,30.23144288780521,0.3697166392263425,0.3652637230217799,0.02693738483610873,0.03481589999691334,0.02569077869093156
nb_mean_harmonic_centrality_1,48.14977924362229,30.23144288780521,0.3697166392263425,0.36526372302178,0.026937384836108736,0.034815899996913334,0.02569077869093156
nb_mean_harmonic_centrality_2,44.094599914810644,28.44676010145627,0.3350641971888311,0.343150305273787,0.009484169244517629,0.018699481921827674,8.655451830942919e-08
nb_mean_harmonic_centrality_3,40.752501483994514,26.655728664212162,0.3091776801147657,0.3183155871323427,0.007743497407584838,0.014778247725140265,4.401044639432836e-12
nb_mean_harmonic_centrality_4,39.283028711563944,25.241175452853653,0.2990303009277792,0.3016316176321229,0.0030465287910590505,0.007427903411347685,7.781865244842839e-15
nb_mean_hub_score,32.30973017599848,19.824767904728738,0.2403168701548959,0.2034084800899207,0.13913338067074452,0.18043148646326512,0.0066147571995557545
nb_mean_hub_score_1,32.309730175998475,19.824767904728734,0.2403168701548958,0.2034084800899206,0.13913338067074454,0.1804314864632651,0.0066147571995557545
nb_mean_hub_score_2,12.597057626150807,10.969181956216127,0.0884797151908493,0.130464508736085,0.03659807226466017,0.06393094866641372,5.046253078915307e-11
nb_mean_hub_score_3,5.504782206262052,5.1582468043630785,0.037697888803851,0.0502690383986805,0.012613080016136896,0.03968933433219516,1.6111586788894775e-11
nb_mean_hub_score_4,4.237728226432057,2.89061109175658,0.0316874974059987,0.0327795943189412,0.003373594949866192,0.011049992012615728,2.602016508075167e-13
nb_mean_local_clustering_coef,20.965228417060572,18.589081162982243,0.1473292891242775,0.1777996149775623,0.07689021079582496,0.19332176113087537,0.0003251470008261325
nb_mean_local_clustering_coef_1,20.96522841706057,18.58908116298224,0.1473292891242774,0.1777996149775623,0.07689021079582495,0.19332176113087537,0.0003251470008261325
nb_mean_local_clustering_coef_2,34.2500437855758,24.00516397503385,0.281245171124755,0.2741796544583849,0.0502861069405854,0.14109102228992357,0.00018277757525134064
nb_mean_local_clustering_coef_3,36.64845734790627,24.662799921832857,0.2805642423298053,0.287098606734021,0.013997774575554752,0.10604100408410093,1.965919556041972e-09
nb_mean_local_clustering_coef_4,36.17647183988851,24.59346013512949,0.2763633596872465,0.2769604561158283,0.004399205263173722,0.10162043226207289,1.5852264994029217e-11
nb_mean_nb_max_authority_1,101.28820914507911,61.200085511090286,0.8085217250441326,0.8136226850975271,0.14430258034744922,0.24197784511713935,0.0007515153966293817
nb_mean_nb_max_authority_2,91.93900182239342,56.32649445750255,0.7017013320562526,0.7306976911252145,0.06825632153671597,0.18002897582547658,8.989449221238202e-06
nb_mean_nb_max_authority_3,70.10501490159407,49.367240442015444,0.5212522696625979,0.5984046738005052,0.055996526999303874,0.1296003656449158,3.969560538508461e-12
nb_mean_nb_max_authority_4,59.75879830668561,39.59218813188008,0.4509968167935484,0.4654345587673776,0.01962618422406998,0.09332366911794107,1.7077520350592658e-13
nb_mean_nb_max_betweenness_1,118263480.74733476,68416807.1251489,912113.0463196426,809622.2337080537,228351.75772349333,384687.7724171547,0.004018253845923387
nb_mean_nb_max_betweenness_2,110898965.80703698,67509781.11015043,827679.2042374376,822921.7212583802,169108.74452355347,228501.2057627982,0.018447072117384427
nb_mean_nb_max_betweenness_3,83585648.12634102,58682215.94693821,624916.748911662,686535.0223071519,70815.44613896483,170563.9151631234,8.8963732601461e-10
nb_mean_nb_max_betweenness_4,70926104.79202922,47212345.86066483,535345.8281162095,552143.8588741709,22420.89341865318,121762.37246002987,3.508594314065891e-13
nb_mean_nb_max_closeness_1,118263480.74733476,68416807.1251489,912113.0463196426,809622.2337080537,228351.75772349333,384687.7724171547,0.004018253845923387
nb_mean_nb_max_closeness_2,110898965.80703698,67509781.11015043,827679.2042374376,822921.7212583802,169108.74452355347,228501.2057627982,0.018447072117384427
nb_mean_nb_max_closeness_3,83585648.12634102,58682215.94693821,624916.748911662,686535.0223071519,70815.44613896483,170563.9151631234,8.8963732601461e-10
nb_mean_nb_max_closeness_4,70926104.79202922,47212345.86066483,535345.8281162095,552143.8588741709,22420.89341865318,121762.37246002987,3.508594314065891e-13
nb_mean_nb_max_constraint_1,88.11901423343507,58.25683867637369,0.6757351632519758,0.68,0.16744904266756536,0.19426851977742607,0.0017508692191363204
nb_mean_nb_max_constraint_2,57.58373286678639,40.74647009036218,0.4256822809207869,0.479465441077832,0.07488262691088901,0.09211444157099616,3.280104601326573e-07
nb_mean_nb_max_constraint_3,41.47921113910972,30.20831777102853,0.304176147326489,0.3430981811855041,0.03456330478264318,0.07514710251822476,2.2615709766477848e-12
nb_mean_nb_max_constraint_4,38.26876794790536,24.95273718507803,0.2907985445060133,0.2909814712430099,0.01079256362972119,0.025589423081059274,6.824586403736372e-09
nb_mean_nb_max_coreness_1,4287.481446379346,2594.1504705513935,33.61764705882353,34.0,2.0042317050292686,6.286747798037178,0.0013229372288597234
nb_mean_nb_max_coreness_2,4284.593258865214,2535.3181269708243,32.8814479638009,32.915162454873645,0.7726196964968137,6.4321797842403425,0.0007704996459342662
nb_mean_nb_max_coreness_3,3969.769372956664,2548.302591771127,30.23967551622419,31.641579272054287,1.1202982442896408,4.621678374972264,5.155207933499934e-13
nb_mean_nb_max_coreness_4,3667.0311665049826,2351.4629479590544,27.816135084427767,28.493540051679588,0.5966146498180632,3.922534216811798,1.7077520350592658e-13
nb_mean_nb_max_degree_1,60615.9177390987,35897.83997433522,476.2857142857143,445.8095238095238,92.17981545763837,158.06135974432328,0.015481443128735171
nb_mean_nb_max_degree_2,57749.08084802439,35261.43492235938,435.325,453.3282442748092,67.03126648221549,111.12471082104238,0.00035265786188620426
nb_mean_nb_max_degree_3,44675.76863811627,31050.038454876038,334.85735567970204,371.1381733021077,33.340069285425415,82.74078854112189,1.0966514407256348e-10
nb_mean_nb_max_degree_4,38316.154521920515,25359.40812069935,289.3886804252658,298.3113695090439,11.388980239081315,61.42445001672508,3.508594314065891e-13
nb_mean_nb_max_eccentricity_1,923.2478711640575,580.7826757818162,7.0,7.085714285714285,0.25931107263674413,1.0308134278745356,0.00022311031642218573
nb_mean_nb_max_eccentricity_2,875.784949791962,547.6513798741152,6.679028132992327,6.745318352059925,0.1525842956989188,0.9209728458541442,5.774548304755283e-07
nb_mean_nb_max_eccentricity_3,854.6278479885708,535.6489411449351,6.506004803843075,6.5249424405218726,0.053042663921331085,0.8781870587535662,4.787921453947278e-08
nb_mean_nb_max_eccentricity_4,854.7645828217808,529.8217575838034,6.525708943596136,6.511909917713296,0.01803690415361967,0.8515316534645825,3.4096040552313077e-06
nb_mean_nb_max_harmonic_centrality_1,59.620987290098576,37.248648982564234,0.4586695325338233,0.4588263484928341,0.018454513373829768,0.03731244322453788,0.0009938312126807243
nb_mean_nb_max_harmonic_centrality_2,58.66031086811008,36.43271726075002,0.447816380986636,0.4504323862859717,0.008222535210721655,0.03453236382127604,0.00025786645140175705
nb_mean_nb_max_harmonic_centrality_3,55.66334071234297,35.81417646919441,0.4236761956329173,0.4339929580225051,0.008327211130245956,0.025018338632309588,2.1625761375832065e-13
nb_mean_nb_max_harmonic_centrality_4,53.72568887037886,34.31951389557233,0.4091369174624426,0.4129620793289875,0.0037835930663271907,0.01940104344957154,1.7077520350592658e-13
nb_mean_nb_max_hub_score_1,98.71576637016958,61.110353562905225,0.7904027622375643,0.7969275122814805,0.14558488730800467,0.22631449181812033,0.0002484626196908187
nb_mean_nb_max_hub_score_2,89.77201115568323,55.220371231936774,0.6868049278876935,0.7317472804071338,0.06567109356945654,0.1829795044007074,4.123970736910248e-07
nb_mean_nb_max_hub_score_3,68.81969151272969,48.47928774501566,0.5121953153916653,0.5860293590364786,0.05423763124739284,0.13290142200221097,2.2615709766477848e-12
nb_mean_nb_max_hub_score_4,58.67209541541768,38.77614628285382,0.4427983084720149,0.4570402155355416,0.019217313666950248,0.0938671898208439,1.7077520350592658e-13
nb_mean_nb_max_local_clustering_coef_1,79.76598756621576,56.65108208968861,0.6064936818710681,0.6785714285714285,0.1751216551374248,0.20960958688213338,1.837371971334165e-05
nb_mean_nb_max_local_clustering_coef_2,49.14557503474683,39.97120744552891,0.3640594977479246,0.4526779962346368,0.0655786576574343,0.16749701023779281,3.435024921725923e-13
nb_mean_nb_max_local_clustering_coef_3,34.1287832371347,27.125228729763794,0.2504730397157174,0.287100893250406,0.030071392653264244,0.13217210943751756,6.033935048326082e-13
nb_mean_nb_max_local_clustering_coef_4,30.41917646169002,21.66046671898779,0.2304797874326536,0.235033076408531,0.008659969205171756,0.11915539352491052,2.7766599614240244e-14
nb_mean_nb_max_pagerank_1,1.101966010936082,0.6413321272970748,0.0087605402373018,0.0079296690630758,0.0017279846762507166,0.0030590602559037337,0.011001493367876895
nb_mean_nb_max_pagerank_2,1.0407667664470046,0.6363392878015232,0.0078811895191978,0.0080266090722051,0.0013029189466505844,0.0019183151425228608,0.0021383040489689107
nb_mean_nb_max_pagerank_3,0.8021922627010671,0.5548299053836225,0.0060077455968721,0.0065567334981576,0.0005964282883090473,0.0014472040277330336,1.866786341264281e-10
nb_mean_nb_max_pagerank_4,0.6912807208837081,0.456864204826129,0.0052221672275664,0.0053752885851226,0.00019865680552598304,0.001070581061629885,3.508594314065891e-13
nb_mean_nb_mean_authority_1,28.12872689842904,16.32007524696027,0.2163864002799955,0.2066781230411359,0.06598805902470192,0.07496484752389551,0.042312290791054454
nb_mean_nb_mean_authority_2,39.72455474567366,22.02018618830049,0.3130028004248523,0.2874535301855206,0.05888409890325454,0.09056721254265244,0.0931820519542923
nb_mean_nb_mean_authority_3,36.42910990276503,23.870052398619553,0.2780541333421149,0.2979396840307559,0.019870202706601364,0.05533269744989179,1.1966385655160429e-10
nb_mean_nb_mean_authority_4,32.1947155261713,21.189028652195564,0.2436076373674189,0.251307533040534,0.007694362639959348,0.04352260357017357,1.7077520350592658e-13
nb_mean_nb_mean_betweenness_1,15907017.55187282,8016474.758529436,107752.11581206956,89068.04111240397,80372.60795172665,45976.55614799595,0.10121298637451541
nb_mean_nb_mean_betweenness_2,32259332.828514244,15787369.250065006,220851.86240540328,184598.08484105772,107682.38859736908,115919.02558526756,2.301676062061905e-06
nb_mean_nb_mean_betweenness_3,34125192.948977426,20913058.609472588,258105.26096436183,252379.19349614272,31877.442572340075,77628.18925717323,5.4950894461932406e-05
nb_mean_nb_mean_betweenness_4,30662679.648221686,20195018.976307496,232345.18343649808,239389.74352461577,8850.372631515203,47628.73918974006,1.3775151325827447e-13
nb_mean_nb_mean_closeness_1,15907017.55187282,8016474.758529436,107752.11581206956,89068.04111240397,80372.60795172665,45976.55614799595,0.10121298637451541
nb_mean_nb_mean_closeness_2,32259332.828514244,15787369.250065006,220851.86240540328,184598.08484105772,107682.38859736908,115919.02558526756,2.301676062061905e-06
nb_mean_nb_mean_closeness_3,34125192.948977426,20913058.609472588,258105.26096436183,252379.19349614272,31877.442572340075,77628.18925717323,5.4950894461932406e-05
nb_mean_nb_mean_closeness_4,30662679.648221686,20195018.976307496,232345.18343649808,239389.74352461577,8850.372631515203,47628.73918974006,1.3775151325827447e-13
nb_mean_nb_mean_constraint_1,18.898511737863384,14.67844845528721,0.1332910023885322,0.1483536472463369,0.03967295009794093,0.08055267368489225,1.809371206725129e-05
nb_mean_nb_mean_constraint_2,14.22898383335403,10.758818164603307,0.1049852517082376,0.1134078693906041,0.015604446482114431,0.05616478567211931,1.4538514025485192e-05
nb_mean_nb_mean_constraint_3,13.693352996273916,9.361738522694614,0.1042991567318827,0.1034675216961105,0.00302054902442052,0.04517905071091339,0.00012331402571016164
nb_mean_nb_mean_constraint_4,14.609431554170376,9.498938848540707,0.1122179181283412,0.1081321438597492,0.0026253935520679905,0.04147660251081416,5.172673443604796e-06
nb_mean_nb_mean_coreness_1,2743.949507282188,1601.4444199737602,21.30950653262069,20.55820432965428,3.102427571450673,5.059461795526415,0.06936642220741349
nb_mean_nb_mean_coreness_2,3126.1281837865354,1834.6022484882023,24.332246936068703,24.094590303469648,1.8251842434684362,4.920952388262932,0.042312290791054454
nb_mean_nb_mean_coreness_3,3044.270525235156,1930.1802417605466,23.23220323559809,23.99901718064079,0.6396284677483189,3.362457647770583,4.4280011300920547e-11
nb_mean_nb_mean_coreness_4,2857.5756448052553,1828.0920179414093,21.702154952655373,22.197427342163444,0.3752158928749977,2.8294080628089917,1.7077520350592658e-13
nb_mean_nb_mean_degree_1,12821.483202324986,6972.845118443824,92.64716408258016,84.34333226541861,39.75774593029917,32.13323465113717,0.08436194571174468
nb_mean_nb_mean_degree_2,21502.501583267116,11278.049064780482,158.0055545736675,138.02817932750682,46.89137587160037,58.0413821984027,0.002304167948312615
nb_mean_nb_mean_degree_3,21379.262657549865,13424.561811766156,161.4464295290607,161.08153188343746,13.135833868804486,37.99588576040549,3.883322663681831e-05
nb_mean_nb_mean_degree_4,19238.653931006804,12599.232176347377,145.7668003833088,150.09222088332567,4.552882026110946,27.331818240892733,1.3775151325827447e-13
nb_mean_nb_mean_eccentricity_1,786.4319710481501,485.3734794909239,5.99457789660535,5.989606399938519,0.14473143732540691,0.9518539023370317,0.000647936451636175
nb_mean_nb_mean_eccentricity_2,777.4045141516749,479.32972922905714,5.9385025405005125,5.933825617764344,0.06957848312008885,0.8984409831906633,0.025168370073252892
nb_mean_nb_mean_eccentricity_3,781.552446888745,483.460131488563,5.965762812583457,5.948796967424392,0.027760122734756847,0.8530020949531285,0.0035685318844259255
nb_mean_nb_mean_eccentricity_4,789.5067731110493,486.9303535688048,6.031699763844544,6.007077915987949,0.01641099226042935,0.8491514862178138,2.3156992044751374e-07
nb_mean_nb_mean_harmonic_centrality_1,47.33432610178605,29.473601920584585,0.3624053890391447,0.3615880805086878,0.01386924467797573,0.021381560052545552,0.05716346752368938
nb_mean_nb_mean_harmonic_centrality_2,49.444350458858814,30.606642970736313,0.3785685760698849,0.3747462173640539,0.010354100924778809,0.021577447902271247,0.06991912791486729
nb_mean_nb_mean_harmonic_centrality_3,49.02763479713377,31.09316927893014,0.3746691094403645,0.3773039114777312,0.003537195354891106,0.015127624115158072,2.0065360594313681e-10
nb_mean_nb_mean_harmonic_centrality_4,48.035664341396895,30.600677893710657,0.3661732947623739,0.3688278815575914,0.0020288656367534975,0.011160108011915592,8.93351869740889e-14
nb_mean_nb_mean_hub_score_1,27.13842134240242,15.67137977443922,0.207354121986171,0.1960782573609558,0.06544521846698051,0.07432087277337139,0.0768561737089355
nb_mean_nb_mean_hub_score_2,38.786015003537,21.52384134146604,0.3077687253666455,0.2866147825784408,0.058392696787028076,0.09419649112756158,0.0931820519542923
nb_mean_nb_mean_hub_score_3,35.686510068002995,23.427981002024822,0.2726568192886833,0.2925266568790388,0.019393211657872843,0.05717787803487533,1.651544390241216e-11
nb_mean_nb_mean_hub_score_4,31.545377576616005,20.68486434646851,0.2386978546229855,0.2462862481392669,0.007547833637064601,0.04617534904717234,1.7077520350592658e-13
nb_mean_nb_mean_local_clustering_coef_1,23.04041213400357,20.71267414635174,0.1737496317519228,0.211071609720252,0.048921213467511084,0.16255594063082573,5.438420214165352e-09
nb_mean_nb_mean_local_clustering_coef_2,17.12363836281107,15.907240537668502,0.1299503651408415,0.153212934760329,0.01552276020674168,0.15358290691910295,2.493727981656431e-16
nb_mean_nb_mean_local_clustering_coef_3,15.321648155426113,12.12497499646938,0.1159579419631304,0.1205411225079358,0.005778907785776131,0.12609100623171604,2.1672535409395984e-12
nb_mean_nb_mean_local_clustering_coef_4,14.855634391441301,11.207631537324882,0.1132244116529806,0.1144492318667336,0.0009908864791484484,0.12667218458275517,3.89558880348449e-14
nb_mean_nb_mean_pagerank_1,0.2169285156905035,0.1158739185762727,0.0015609697231851,0.0013554691175451,0.0007136417911833367,0.000504958321311824,0.10121298637451541
nb_mean_nb_mean_pagerank_2,0.3726752296366676,0.1943782914656384,0.0026717078350644,0.0022691276518321,0.00086765092400113,0.0009949479653044754,0.0007327299518650337
nb_mean_nb_mean_pagerank_3,0.3793140140728501,0.2344193901150499,0.0028825377952941,0.0028595010175363,0.0002459400788325976,0.0006787223408204064,7.724771937378325e-05
nb_mean_nb_mean_pagerank_4,0.345265904986454,0.2253820655147099,0.0026179112272443,0.0026879657237302,7.748131859277389e-05,0.0004536131697161242,1.3775151325827447e-13
nb_mean_nb_min_authority_1,4.397804783430957,2.205695855856111,0.0224556377974809,0.0220669812247986,0.03412502238940778,0.022337692139180347,0.10121298637451541
nb_mean_nb_min_authority_2,14.738273961155238,6.723439741195018,0.1199398508361489,0.0734207167935831,0.04355596823414191,0.04830552280562376,0.0011327292613530092
nb_mean_nb_min_authority_3,18.244306619657113,10.775953842783855,0.1404663706313062,0.1397730317118409,0.01381247993334362,0.035355738422028084,7.724771937378325e-05
nb_mean_nb_min_authority_4,17.00955226193701,11.097692897535929,0.1291422177283511,0.1330266105413996,0.004999231777583984,0.018541600640366376,1.7077520350592658e-13
nb_mean_nb_min_betweenness_1,1919998.5571815572,371992.16686882736,2339.5194713488904,432.9685574253823,47239.98845503375,10964.240752316215,0.013376787564810665
nb_mean_nb_min_betweenness_2,11546267.459742265,4719781.503894915,66859.93618269952,39429.12013136266,74494.88956189228,72264.89946900595,1.059407591765126e-06
nb_mean_nb_min_betweenness_3,16997743.484579433,9342253.43479925,135277.93079294238,132319.55327042792,27477.185574770476,54996.478588413236,6.520624839009697e-05
nb_mean_nb_min_betweenness_4,16105852.073181435,10533979.26537233,122474.08775676214,125856.5178282834,7433.717731349751,24610.30512178569,4.730240440482619e-13
nb_mean_nb_min_closeness_1,1919998.5571815572,371992.16686882736,2339.5194713488904,432.9685574253823,47239.98845503375,10964.240752316215,0.013376787564810665
nb_mean_nb_min_closeness_2,11546267.459742265,4719781.503894915,66859.93618269952,39429.12013136266,74494.88956189228,72264.89946900595,1.059407591765126e-06
nb_mean_nb_min_closeness_3,16997743.484579433,9342253.43479925,135277.93079294238,132319.55327042792,27477.185574770476,54996.478588413236,6.520624839009697e-05
nb_mean_nb_min_closeness_4,16105852.073181435,10533979.26537233,122474.08775676214,125856.5178282834,7433.717731349751,24610.30512178569,4.730240440482619e-13
nb_mean_nb_min_constraint_1,2.0215684638688742,2.6112856164800413,0.011381367419103,0.0105308141900544,0.014245932272597954,0.06430480023358014,0.0019596796477534774
nb_mean_nb_min_constraint_2,2.1172725038441893,3.0708567963531195,0.0163627332362407,0.0160542462619603,0.0035051502298163494,0.06775410629975344,3.019911987012962e-05
nb_mean_nb_min_constraint_3,3.6692058979747153,2.688094194293951,0.0280392680891967,0.023143225062672,0.004967545512466177,0.053003061725605295,1.5049927392688072e-06
nb_mean_nb_min_constraint_4,5.2924284940459225,3.586171797854472,0.041416311986017,0.0366546022908252,0.0038048849567349375,0.05045246794891166,1.1352843381182431e-05
nb_mean_nb_min_coreness_1,722.9945506537862,389.4547512071761,5.086206896551724,4.444444444444445,2.9855777087748328,2.7403822452723436,0.10121298637451541
nb_mean_nb_min_coreness_2,1513.4643646280283,780.4625718462252,12.043189368770763,9.580246913580249,2.397680615885289,3.2027726932235336,0.003442834939564347
nb_mean_nb_min_coreness_3,1899.264567509,1102.9739784622402,14.81362725450902,14.341011235955056,0.9362968286420039,2.5707370123376365,0.00022002827677381889
nb_mean_nb_min_coreness_4,1885.4924857443798,1190.8288537891706,14.373866833385431,14.605855855855856,0.3242720416224682,1.5351047133056819,9.03999262005139e-12
nb_mean_nb_min_degree_1,1966.4385625564094,697.5136695964719,7.857142857142857,5.0,24.04425646027444,9.754532480569129,0.10121298637451541
nb_mean_nb_min_degree_2,8163.470080078512,3572.519578370385,55.14579256360079,36.19607843137255,34.12023518590687,35.3488433505057,0.00017831773276759665
nb_mean_nb_min_degree_3,10995.86884000637,6210.632276382778,86.83957219251337,84.40766738660908,12.076349173459525,26.951192165019638,2.6964470856726006e-05
nb_mean_nb_min_degree_4,10463.751797222283,6780.813835102614,79.58361988121288,81.6702161987738,3.7662670337902635,13.70231299591669,4.730240440482619e-13
